Transaction_ID,Customer_ID,Category,Units_Sold,Unit_Price,Date,Revenue,Cost,Profit,Month,Year,Profit_Margin
1,4174,Electronics,8,601,2025-04-11,4808,3990.6220543895033,817.3779456104967,4,2025,17.000373244810664
2,4507,Sports,4,1783,2025-08-08,7132,4326.274970508768,2805.725029491232,8,2025,39.339947132518674
3,1860,Furniture,6,1738,2025-05-18,10428,5345.108482113415,5082.8915178865855,5,2025,48.742726485295215
4,2294,Furniture,5,1461,2025-06-05,7305,4168.189166092339,3136.8108339076607,6,2025,42.94060005349296
5,2130,Groceries,4,813,2025-09-19,3252,1734.9320963486882,1517.0679036513118,9,2025,46.65030454032324
6,2095,Furniture,9,790,2025-03-14,7110,5129.042153777881,1980.9578462221189,3,2025,27.86157308329281
7,4772,Clothing,3,1066,2025-10-07,3198,2238.772854670458,959.227145329542,10,2025,29.994594913369042
8,4092,Electronics,1,522,2025-02-21,522,312.1667712538317,209.8332287461683,2,2025,40.19793654141155
9,2638,Electronics,7,515,2025-03-23,3605,3017.0353772769427,587.9646227230573,3,2025,16.309698272484255
10,3169,Electronics,8,1162,2025-11-20,9296,6175.644394982439,3120.355605017561,11,2025,33.566648074629526
11,1466,Sports,3,1607,2025-10-10,4821,4279.266229539816,541.7337704601841,10,2025,11.236958524376355
12,2238,Sports,3,1385,2025-09-26,4155,2464.9839104903126,1690.0160895096874,9,2025,40.67427411575662
13,1330,Clothing,6,351,2025-03-16,2106,1577.4343748216631,528.5656251783369,3,2025,25.098082866967562
14,2482,Furniture,2,1193,2025-05-27,2386,1952.234552767973,433.7654472320273,5,2025,18.17960801475387
15,3135,Sports,6,745,2025-06-10,4470,2573.079392332457,1896.9206076675428,6,2025,42.43670263238351
16,4444,Furniture,5,767,2025-07-25,3835,3134.361241865489,700.6387581345111,7,2025,18.269589521108504
17,4171,Furniture,7,1046,2025-09-26,7322,6250.904590027652,1071.0954099723476,9,2025,14.628454110521
18,3919,Sports,9,508,2025-09-20,4572,3507.131276808009,1064.8687231919912,9,2025,23.291091933333142
19,4735,Sports,9,1996,2025-10-16,17964,15419.79387555372,2544.20612444628,10,2025,14.162804077300601
